"Date/Time","Mech Vent + Nat Vent + Infiltration","External Infiltration","Task Lighting","General Lighting","Miscellaneous","Process","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","System Fans","System Pumps","Cooling (Electricity)","Exterior lighting","Outside Dry-Bulb Temperature",
,"ac/h","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","°C","°C","°C","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","°C",
"1/1/2002 1:00:00 AM","0.7781634","1.232095","0","0","0","0","4.972766E-02","0","0","-14.9052","22.27166","24.46485","23.36826","4.972766E-02","0","3.25346","1.880904E-02","10.04225","0.1578205","23.8125",
"1/1/2002 2:00:00 AM","0.7779388","1.270324","0","0","0","0","4.972766E-02","0","0","-14.55886","22.09985","24.23358","23.16671","4.972766E-02","0","3.25346","0.0183419","10.04225","0.1578205","23.6875",
"1/1/2002 3:00:00 AM","0.7784407","1.037212","0","0","0","0","4.972766E-02","0","0","-14.14772","21.89063","24.00282","22.94673","4.972766E-02","0","3.25346","1.708565E-02","10.04225","0.1578205","23.1875",
"1/1/2002 4:00:00 AM","0.7789714","0.8006012","0","0","0","0","4.972766E-02","0","0","-13.74276","21.68489","23.7758","22.73035","4.972766E-02","0","3.25346","1.689153E-02","10.04225","0.1578205","22.6875",
"1/1/2002 5:00:00 AM","0.7795301","0.5612965","0","0","0","0","4.972766E-02","0","0","-13.34169","21.4816","23.55171","22.51665","4.972766E-02","0","3.25346","1.741707E-02","10.04225","0.1578205","22.1875",
"1/1/2002 6:00:00 AM","0.7801009","0.320142","0","0","0","0","4.972766E-02","0","0","-12.94415","21.27967","23.32931","22.30449","4.972766E-02","0","3.25346","1.823142E-02","10.04225","0.1578205","21.6875",
"1/1/2002 7:00:00 AM","0.7813162","-1.270928E-02","0","0","0","0","4.972766E-02","0","9.325142","-12.82079","21.18941","23.31202","22.25072","4.972766E-02","0","3.25346","1.842396E-02","10.04225","0","21.1875",
"1/1/2002 8:00:00 AM","0.7819548","-4.966768E-02","0","0","0","0","4.972766E-02","0","33.57382","-14.06358","21.67243","23.96457","22.8185","4.972766E-02","0","3.25346","1.720875E-02","10.04225","0","21.625",
"1/1/2002 9:00:00 AM","0.7799094","0.6424683","0","0","0","0","4.972766E-02","0","49.3595","-16.94771","22.44148","24.89962","23.67055","4.972766E-02","0","3.294348","2.008739E-02","10.04225","0","23.25",
"1/1/2002 10:00:00 AM","0.7757176","1.920652","0","0","0","0","4.972766E-02","0","53.33243","-23.10493","22.84496","25.73575","24.29036","4.972766E-02","0","3.52529","2.824355E-02","10.29634","0","25.25",
"1/1/2002 11:00:00 AM","0.7729778","2.844103","0","0","0","0","4.972766E-02","0","48.22939","-27.14909","23.0531","26.29222","24.67266","4.972766E-02","0","3.741387","4.013217E-02","10.85301","0","26.625",
